frames:  1000, reward: -20.000000, loss: 0.000000, epsilon: 0.968855, episode:    1
Save model!
frames:  2000, reward: -20.000000, loss: 0.000000, epsilon: 0.938732, episode:    2
frames:  3000, reward: -20.000000, loss: 0.000000, epsilon: 0.909596, episode:    3
frames:  4000, reward: -20.250000, loss: 0.000000, epsilon: 0.881415, episode:    4
frames:  5000, reward: -20.000000, loss: 0.000000, epsilon: 0.854158, episode:    5
frames:  6000, reward: -20.166667, loss: 0.000000, epsilon: 0.827794, episode:    6
frames:  7000, reward: -20.000000, loss: 0.000000, epsilon: 0.802295, episode:    7
frames:  8000, reward: -20.222222, loss: 0.000000, epsilon: 0.777632, episode:    9
frames:  9000, reward: -20.300000, loss: 0.000000, epsilon: 0.753777, episode:   10
frames: 10000, reward: -20.200000, loss: 0.000863, epsilon: 0.730705, episode:   11
frames: 11000, reward: -20.300000, loss: 0.000206, epsilon: 0.708389, episode:   12
frames: 12000, reward: -20.300000, loss: 0.016581, epsilon: 0.686804, episode:   13
frames: 13000, reward: -20.300000, loss: 0.014962, epsilon: 0.665927, episode:   14
frames: 14000, reward: -20.500000, loss: 0.000269, epsilon: 0.645735, episode:   16
frames: 15000, reward: -20.700000, loss: 0.000335, epsilon: 0.626204, episode:   17
frames: 16000, reward: -20.700000, loss: 0.015284, epsilon: 0.607314, episode:   18
frames: 17000, reward: -20.600000, loss: 0.030075, epsilon: 0.589043, episode:   19
frames: 18000, reward: -20.500000, loss: 0.031383, epsilon: 0.571371, episode:   20
frames: 19000, reward: -20.400000, loss: 0.000212, epsilon: 0.554278, episode:   21
frames: 20000, reward: -20.400000, loss: 0.014910, epsilon: 0.537746, episode:   22
frames: 21000, reward: -20.500000, loss: 0.030887, epsilon: 0.521756, episode:   23
frames: 22000, reward: -20.500000, loss: 0.015709, epsilon: 0.506290, episode:   24
frames: 23000, reward: -20.500000, loss: 0.000328, epsilon: 0.491331, episode:   26
frames: 24000, reward: -20.400000, loss: 0.000053, epsilon: 0.476863, episode:   27
frames: 25000, reward: -20.400000, loss: 0.000205, epsilon: 0.462868, episode:   28
frames: 26000, reward: -20.200000, loss: 0.000163, epsilon: 0.449333, episode:   29
frames: 27000, reward: -20.300000, loss: 0.030708, epsilon: 0.436241, episode:   30
frames: 28000, reward: -20.400000, loss: 0.015881, epsilon: 0.423579, episode:   31
frames: 29000, reward: -20.200000, loss: 0.031366, epsilon: 0.411331, episode:   32
frames: 30000, reward: -20.100000, loss: 0.000025, epsilon: 0.399485, episode:   33
frames: 31000, reward: -19.900000, loss: 0.000443, epsilon: 0.388028, episode:   34
Save model!
frames: 32000, reward: -19.700000, loss: 0.000344, epsilon: 0.376946, episode:   35
Save model!
frames: 33000, reward: -19.600000, loss: 0.000209, epsilon: 0.366228, episode:   36
Save model!
frames: 34000, reward: -19.700000, loss: 0.000116, epsilon: 0.355860, episode:   37
frames: 35000, reward: -19.700000, loss: 0.000443, epsilon: 0.345833, episode:   38
frames: 36000, reward: -19.900000, loss: 0.029995, epsilon: 0.336135, episode:   40
frames: 37000, reward: -20.100000, loss: 0.000217, epsilon: 0.326754, episode:   41
frames: 38000, reward: -20.300000, loss: 0.000549, epsilon: 0.317681, episode:   42
frames: 39000, reward: -20.400000, loss: 0.015330, epsilon: 0.308905, episode:   43
frames: 40000, reward: -20.600000, loss: 0.015705, epsilon: 0.300417, episode:   44
frames: 41000, reward: -20.700000, loss: 0.029632, epsilon: 0.292208, episode:   45
